portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
98d5f3f8-4922-47c7-9f92-946acd7e9db8	TCGA-49-6745-01A-13-2191-20	9c7875ad-ab71-4d48-b2e3-e4c7a46393e9	TCGA-49-6745	TCGA-LUAD	357f3efe-e2c9-432a-a2b6-75a5fdbae3be	TCGA-49-6745-01A	released	13	--	False
765d39b2-7092-4ee5-b6ab-639249ae15bb	TCGA-49-6745-01A-11	9c7875ad-ab71-4d48-b2e3-e4c7a46393e9	TCGA-49-6745	TCGA-LUAD	357f3efe-e2c9-432a-a2b6-75a5fdbae3be	TCGA-49-6745-01A	released	11	26.0	False
2d34e559-e246-4e11-bce7-27442a54f90c	TCGA-49-6745-11A-01	9c7875ad-ab71-4d48-b2e3-e4c7a46393e9	TCGA-49-6745	TCGA-LUAD	36be2a07-e71c-4b12-83d8-506376da8f5e	TCGA-49-6745-11A	released	01	70.0	False
d781abdf-660e-4b25-9c64-cd086727f5cd	TCGA-49-6767-11A-01	6bffe800-ec2b-4638-9333-97fe85dcd91c	TCGA-49-6767	TCGA-LUAD	3c1e2c11-a721-4af0-ba91-fd0d77a75e0c	TCGA-49-6767-11A	released	01	64.0	False
dfc22417-6b41-42df-b53e-3fea9dadcd19	TCGA-49-6767-01A-13-2191-20	6bffe800-ec2b-4638-9333-97fe85dcd91c	TCGA-49-6767	TCGA-LUAD	708a8742-f6d6-411d-9340-2c6c25885d22	TCGA-49-6767-01A	released	13	--	False
7b5ad20d-4d7c-4761-816e-8a8515edb6f9	TCGA-49-6767-01A-11	6bffe800-ec2b-4638-9333-97fe85dcd91c	TCGA-49-6767	TCGA-LUAD	708a8742-f6d6-411d-9340-2c6c25885d22	TCGA-49-6767-01A	released	11	40.0	False
f1fe363c-ae3d-4fab-bc18-d16a781851ed	TCGA-69-7764-01A-13-2192-20	243c6fd6-5516-46e5-bcef-292d93d7b7d3	TCGA-69-7764	TCGA-LUAD	d1194f81-3244-41e2-a4ab-5fa0485ec6aa	TCGA-69-7764-01A	released	13	--	False
79b97d9f-1932-4fd7-9375-83dcd65b28c7	TCGA-69-7764-01A-11	243c6fd6-5516-46e5-bcef-292d93d7b7d3	TCGA-69-7764	TCGA-LUAD	d1194f81-3244-41e2-a4ab-5fa0485ec6aa	TCGA-69-7764-01A	released	11	38.0	False
63482a06-cd98-4e64-be7b-2446f0173b0d	TCGA-69-7764-10A-01	243c6fd6-5516-46e5-bcef-292d93d7b7d3	TCGA-69-7764	TCGA-LUAD	5d8e8c0c-2fe4-4170-97ab-414acbbfd374	TCGA-69-7764-10A	released	01	--	False
5e3fb226-21a1-4b99-948a-55d119066615	TCGA-64-5779-01A-41-2191-20	1c58d9b8-17a2-4fc6-9898-fe6f47bd2c2a	TCGA-64-5779	TCGA-LUAD	4131da8f-3c6c-43e1-a7eb-81cb8988f524	TCGA-64-5779-01A	released	41	--	False
31af605d-96a7-49d9-aa10-cf7280cfb6f2	TCGA-64-5779-01A-01	1c58d9b8-17a2-4fc6-9898-fe6f47bd2c2a	TCGA-64-5779	TCGA-LUAD	4131da8f-3c6c-43e1-a7eb-81cb8988f524	TCGA-64-5779-01A	released	01	60.0	False
16bb1134-39a1-4e3f-aa34-dc30f1df2f3f	TCGA-64-5779-10A-01	1c58d9b8-17a2-4fc6-9898-fe6f47bd2c2a	TCGA-64-5779	TCGA-LUAD	ef7e3bd2-56ce-478d-bbf8-3a9bfa941f40	TCGA-64-5779-10A	released	01	300.0	False
35815c17-4dfa-47e0-8536-d111b1a16409	TCGA-NJ-A7XG-10A-01	01e9888d-b5b9-48f1-8ba6-8a89af108a04	TCGA-NJ-A7XG	TCGA-LUAD	e8c82a0c-9d8a-4ab3-b190-d5407a3e8ead	TCGA-NJ-A7XG-10A	released	01	2.0	False
247798da-825e-465a-ab9a-0648d99bbc1d	TCGA-NJ-A7XG-01A-12	01e9888d-b5b9-48f1-8ba6-8a89af108a04	TCGA-NJ-A7XG	TCGA-LUAD	5a6826b4-7926-4378-86bf-76c028508b3b	TCGA-NJ-A7XG-01A	released	12	30.0	False
9d10e64c-ac93-44a9-a81d-b6d307824d95	TCGA-NJ-A7XG-01A-21-A45A-20	01e9888d-b5b9-48f1-8ba6-8a89af108a04	TCGA-NJ-A7XG	TCGA-LUAD	5a6826b4-7926-4378-86bf-76c028508b3b	TCGA-NJ-A7XG-01A	released	21	--	False
f5f257c7-0d45-4305-a9eb-388dccb46c7a	TCGA-73-7499-01A-13-2192-20	7782ceaa-da49-4232-8b3f-534971adaad8	TCGA-73-7499	TCGA-LUAD	9fd8c73a-da18-4019-9deb-16c93fe1fce2	TCGA-73-7499-01A	released	13	--	False
5d0b20ee-72a3-4e16-bb95-dfd203e72f7e	TCGA-73-7499-01A-11	7782ceaa-da49-4232-8b3f-534971adaad8	TCGA-73-7499	TCGA-LUAD	9fd8c73a-da18-4019-9deb-16c93fe1fce2	TCGA-73-7499-01A	released	11	38.0	False
2330c9f3-f7da-4570-b9c9-c70d6444f898	TCGA-73-7499-10A-01	7782ceaa-da49-4232-8b3f-534971adaad8	TCGA-73-7499	TCGA-LUAD	bc3ea23b-8e54-4733-b0b1-4e158d743e36	TCGA-73-7499-10A	released	01	--	False
b0be3479-66d1-453e-bf3b-319dc1bbdeb9	TCGA-44-5645-01B-04	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	2ea3d6eb-8e72-45f2-bbcc-5561df4e7e37	TCGA-44-5645-01B	released	04	400.0	True
947e2aec-e8d1-4456-9ca8-495f7da8252c	TCGA-44-5645-11A-31	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	feaf6024-f488-4636-bd99-7fd770cc3d15	TCGA-44-5645-11A	released	31	30.0	False
2b1b2aa8-a347-455f-a82a-3609860b430c	TCGA-44-5645-11A-01	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	feaf6024-f488-4636-bd99-7fd770cc3d15	TCGA-44-5645-11A	released	01	69.0	False
77c93f9a-bcde-47e1-8066-89e1483af5b8	TCGA-44-5645-11A-21	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	feaf6024-f488-4636-bd99-7fd770cc3d15	TCGA-44-5645-11A	released	21	30.0	False
cfdea2c3-4e8b-4f64-bdd6-cdba1623de4f	TCGA-44-5645-01A-01	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	37a8d3a5-baa0-427c-ab43-48ae4b93633b	TCGA-44-5645-01A	released	01	61.0	False
17d88a09-187c-4d25-bda5-453792ca86bd	TCGA-44-5645-01A-51	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	37a8d3a5-baa0-427c-ab43-48ae4b93633b	TCGA-44-5645-01A	released	51	30.0	False
ec945497-65c8-47ca-81d7-22be0f1f8c7c	TCGA-44-5645-01A-41-2191-20	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	37a8d3a5-baa0-427c-ab43-48ae4b93633b	TCGA-44-5645-01A	released	41	--	False
e74e6ed6-c141-4f83-96c2-3e8a158d7cfb	TCGA-44-5645-01A-21	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	37a8d3a5-baa0-427c-ab43-48ae4b93633b	TCGA-44-5645-01A	released	21	30.0	False
b790a24e-201a-4a9e-a7a1-4c6a221d951f	TCGA-44-5645-10A-01	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	TCGA-44-5645	TCGA-LUAD	0f56a5d5-274e-4599-9566-3eaba30af2f9	TCGA-44-5645-10A	released	01	--	False
b4d5b00c-093a-4c0a-844a-195113609fbe	TCGA-J2-8192-10A-01	369f14c4-2191-4962-a309-3e23ddc4e5fc	TCGA-J2-8192	TCGA-LUAD	46ea8fb2-6d7c-441b-8352-886d309f29cf	TCGA-J2-8192-10A	released	01	--	False
7c2b57f4-354c-48e0-98d4-98686e0f435d	TCGA-J2-8192-01A-21-A45A-20	369f14c4-2191-4962-a309-3e23ddc4e5fc	TCGA-J2-8192	TCGA-LUAD	45021ebd-8e13-44c2-8203-aa9f72b50e6e	TCGA-J2-8192-01A	released	21	--	False
01310410-d9a6-47b2-8d66-c1e94d649d59	TCGA-J2-8192-01A-11	369f14c4-2191-4962-a309-3e23ddc4e5fc	TCGA-J2-8192	TCGA-LUAD	45021ebd-8e13-44c2-8203-aa9f72b50e6e	TCGA-J2-8192-01A	released	11	31.0	False
a9985c1b-ce27-4b26-8164-c665eab97d05	TCGA-J2-8192-11A-01	369f14c4-2191-4962-a309-3e23ddc4e5fc	TCGA-J2-8192	TCGA-LUAD	241611a2-bd35-4c3e-9e46-d64081098c96	TCGA-J2-8192-11A	released	01	62.0	False
b69c816b-8ed7-4fda-afa1-114eb8fc02a1	TCGA-75-6211-10A-01	2db08267-d346-4d42-aac0-b76831903253	TCGA-75-6211	TCGA-LUAD	848cd38d-7c78-483f-a84f-70eaead5ef8e	TCGA-75-6211-10A	released	01	--	False
88b413e4-d1c3-4300-aabf-f8d8fb5f3884	TCGA-75-6211-01A-11	2db08267-d346-4d42-aac0-b76831903253	TCGA-75-6211	TCGA-LUAD	55f79464-e4d9-47be-8ce8-c4959e9eb753	TCGA-75-6211-01A	released	11	30.0	False
7510fd86-91a5-47ed-88bc-64b774eebc6c	TCGA-75-6211-01A-13-2191-20	2db08267-d346-4d42-aac0-b76831903253	TCGA-75-6211	TCGA-LUAD	55f79464-e4d9-47be-8ce8-c4959e9eb753	TCGA-75-6211-01A	released	13	--	False
f8089f74-c069-4820-baf7-9b17cd78ef5d	TCGA-50-5944-10A-01	1c339545-c08a-4a77-b8e9-a7e49e53853f	TCGA-50-5944	TCGA-LUAD	8586678e-d6d9-4b29-bb21-bf7bd0244322	TCGA-50-5944-10A	released	01	--	False
6ec4fc54-1b0d-4d29-a393-b75057c76a88	TCGA-50-5944-01A-11	1c339545-c08a-4a77-b8e9-a7e49e53853f	TCGA-50-5944	TCGA-LUAD	bf8fdf82-62b4-4b5d-93e7-ce153576fe49	TCGA-50-5944-01A	released	11	32.0	False
e17609bb-ee34-4c92-9a72-41f40b80fb45	TCGA-50-5944-01A-13-2191-20	1c339545-c08a-4a77-b8e9-a7e49e53853f	TCGA-50-5944	TCGA-LUAD	bf8fdf82-62b4-4b5d-93e7-ce153576fe49	TCGA-50-5944-01A	released	13	--	False
3b6d2735-f6bd-49b1-b7b6-ed70d4e5cd3b	TCGA-86-8669-10A-01	7b89166e-c5b8-481b-aa70-495141499b91	TCGA-86-8669	TCGA-LUAD	9bd84d50-049b-4249-93bb-3f9529c9e990	TCGA-86-8669-10A	released	01	--	False
5b0fd5e1-d603-431f-a843-eeddd0b0488c	TCGA-86-8669-01A-21-A45A-20	7b89166e-c5b8-481b-aa70-495141499b91	TCGA-86-8669	TCGA-LUAD	de0e8b86-5791-4e7c-b939-30857cd7b0a8	TCGA-86-8669-01A	released	21	--	False
ea130967-e291-4c36-b2e6-defe8aa42016	TCGA-86-8669-01A-11	7b89166e-c5b8-481b-aa70-495141499b91	TCGA-86-8669	TCGA-LUAD	de0e8b86-5791-4e7c-b939-30857cd7b0a8	TCGA-86-8669-01A	released	11	38.0	False
4332dd1d-646d-4e0f-b381-3e86bc4fabde	TCGA-55-7283-11A-01	ccfdad76-cc45-447f-bed8-ede8f6a8844d	TCGA-55-7283	TCGA-LUAD	c0bd55cd-388a-461c-8502-5410d4d0f2fb	TCGA-55-7283-11A	released	01	60.0	False
9d89f84b-cdb0-4dee-8cba-dc611d89d357	TCGA-55-7283-01A-11	ccfdad76-cc45-447f-bed8-ede8f6a8844d	TCGA-55-7283	TCGA-LUAD	08b21fc8-ce08-47c4-b715-6e34213edc07	TCGA-55-7283-01A	released	11	23.0	False
498e067c-a9f4-4274-88c4-f3efedb49b91	TCGA-55-7283-10A-01	ccfdad76-cc45-447f-bed8-ede8f6a8844d	TCGA-55-7283	TCGA-LUAD	fc515d6a-c533-4369-92d7-b6b43ef620ce	TCGA-55-7283-10A	released	01	--	False
1e6ecda8-bdc5-4133-adf1-99b849623c7e	TCGA-80-5608-01A-11-2190-20	5c06d97f-2aaa-43de-b085-09d7829356ba	TCGA-80-5608	TCGA-LUAD	20c166c8-6e1f-44b0-81ba-c41add0e0466	TCGA-80-5608-01A	released	11	--	False
2ad7fb16-288f-441b-ac57-971936a67d11	TCGA-80-5608-01A-31	5c06d97f-2aaa-43de-b085-09d7829356ba	TCGA-80-5608	TCGA-LUAD	20c166c8-6e1f-44b0-81ba-c41add0e0466	TCGA-80-5608-01A	released	31	37.0	False
abe91867-ef45-4329-9154-6616d71bb252	TCGA-80-5608-10A-01	5c06d97f-2aaa-43de-b085-09d7829356ba	TCGA-80-5608	TCGA-LUAD	c0a55afe-d176-4ff0-8856-7991230b1bd1	TCGA-80-5608-10A	released	01	--	False
c38d88b5-06dd-4b25-8a3c-5fee234051a7	TCGA-55-6543-01A-11	e68219b0-a9c2-49df-8f0d-db5ea97fd2dc	TCGA-55-6543	TCGA-LUAD	8d9491e7-9b14-4988-8fa7-e6af041120bd	TCGA-55-6543-01A	released	11	38.0	False
094e7995-ee01-40b2-aced-0db808ad9a56	TCGA-55-6543-01A-13-2191-20	e68219b0-a9c2-49df-8f0d-db5ea97fd2dc	TCGA-55-6543	TCGA-LUAD	8d9491e7-9b14-4988-8fa7-e6af041120bd	TCGA-55-6543-01A	released	13	--	False
2b9a730a-ddcc-4f3f-ada9-58666ba1b1e6	TCGA-55-6543-10A-01	e68219b0-a9c2-49df-8f0d-db5ea97fd2dc	TCGA-55-6543	TCGA-LUAD	656a0565-869d-462e-899b-eb5da57c75c7	TCGA-55-6543-10A	released	01	--	False
8293cfdc-84cd-438b-9496-84c75733eb34	TCGA-78-7146-10A-01	ff9def3d-17e5-4ef6-b74e-933f11ed6f00	TCGA-78-7146	TCGA-LUAD	e5e34ef5-842c-4849-9476-54e415d3c3bf	TCGA-78-7146-10A	released	01	--	False
067d2d3a-828e-426a-87bf-86018e3bc83b	TCGA-78-7146-01A-13-2192-20	ff9def3d-17e5-4ef6-b74e-933f11ed6f00	TCGA-78-7146	TCGA-LUAD	98a8d751-4efd-442e-a242-0fe399c2586f	TCGA-78-7146-01A	released	13	--	False
4cda313f-64d1-4bf3-b2fc-c098d85ec5c8	TCGA-78-7146-01A-11	ff9def3d-17e5-4ef6-b74e-933f11ed6f00	TCGA-78-7146	TCGA-LUAD	98a8d751-4efd-442e-a242-0fe399c2586f	TCGA-78-7146-01A	released	11	26.0	False
047e17d8-5d81-4b92-8e13-afb2db10c5f1	TCGA-62-A470-10A-01	e60a8f8a-0fe6-40e5-9f30-bcff48ac73f4	TCGA-62-A470	TCGA-LUAD	9cfbcafe-4c60-43ab-8bf1-6bcc27647571	TCGA-62-A470-10A	released	01	--	False
2124ed66-7701-40b8-80ec-d0b47feb041a	TCGA-62-A470-01A-11	e60a8f8a-0fe6-40e5-9f30-bcff48ac73f4	TCGA-62-A470	TCGA-LUAD	fceb89f9-c4db-42b4-84dd-06a8603c071b	TCGA-62-A470-01A	released	11	30.0	False
8a824835-945c-4bea-8f83-927be247dc75	TCGA-69-7760-10A-01	8981f0c9-7155-4c96-bf77-7d40fe404323	TCGA-69-7760	TCGA-LUAD	0fdc248d-c5d7-4461-ae4e-8994bfc71e59	TCGA-69-7760-10A	released	01	--	False
a7d984a7-1f25-42b7-ac2e-02ce0a2e9419	TCGA-69-7760-01A-11	8981f0c9-7155-4c96-bf77-7d40fe404323	TCGA-69-7760	TCGA-LUAD	a096292c-055c-4243-b625-1e2a5f31e3d6	TCGA-69-7760-01A	released	11	12.0	False
aea6b973-08b3-429f-bc71-0977e6a86960	TCGA-69-7760-01A-21-2192-20	8981f0c9-7155-4c96-bf77-7d40fe404323	TCGA-69-7760	TCGA-LUAD	a096292c-055c-4243-b625-1e2a5f31e3d6	TCGA-69-7760-01A	released	21	--	False
e532ee41-53c4-4e88-b5fe-68303d25d7c5	TCGA-86-A4D0-10A-01	528a0fce-0719-4b19-a69d-3f18681696c5	TCGA-86-A4D0	TCGA-LUAD	9bf71d2f-4837-46c7-aa6b-abf4dcafdc0f	TCGA-86-A4D0-10A	released	01	2.0	False
18545e4a-6285-4db7-a52c-9e12075d6b89	TCGA-86-A4D0-01A-22-A646-42	528a0fce-0719-4b19-a69d-3f18681696c5	TCGA-86-A4D0	TCGA-LUAD	5de445ab-85e8-4bec-bf61-f6b4240306e1	TCGA-86-A4D0-01A	released	22	20.0	False
23def7ae-5393-4893-80b9-f58014af7ba8	TCGA-86-A4D0-01A-11	528a0fce-0719-4b19-a69d-3f18681696c5	TCGA-86-A4D0	TCGA-LUAD	5de445ab-85e8-4bec-bf61-f6b4240306e1	TCGA-86-A4D0-01A	released	11	30.0	False
11425cd6-20a7-424c-8b84-c3be4e5ca3a3	TCGA-86-A4D0-01A-21-A45B-20	528a0fce-0719-4b19-a69d-3f18681696c5	TCGA-86-A4D0	TCGA-LUAD	5de445ab-85e8-4bec-bf61-f6b4240306e1	TCGA-86-A4D0-01A	released	21	--	False
ac30ab72-3a60-4b8d-892e-1cde000eba04	TCGA-44-A47G-10A-01	da345947-498b-4272-a231-a987ed4fe151	TCGA-44-A47G	TCGA-LUAD	d98e17f8-d54e-4341-bb8a-82542764a02e	TCGA-44-A47G-10A	released	01	2.0	False
49e1bfd7-e134-4681-8602-6bac22b1345c	TCGA-44-A47G-01A-21	da345947-498b-4272-a231-a987ed4fe151	TCGA-44-A47G	TCGA-LUAD	70058d0b-3a99-490d-8f3a-97611faf2326	TCGA-44-A47G-01A	released	21	30.0	False
732a0498-d142-4529-ab3c-350ab6685787	TCGA-44-A47G-01A-11-A45A-20	da345947-498b-4272-a231-a987ed4fe151	TCGA-44-A47G	TCGA-LUAD	70058d0b-3a99-490d-8f3a-97611faf2326	TCGA-44-A47G-01A	released	11	--	False
0ddf3814-4c0f-4a50-a60f-2cc1aedb45f1	TCGA-97-7552-10A-01	1b110eb4-a01d-4c50-ba18-77da4dedd549	TCGA-97-7552	TCGA-LUAD	0596228b-476c-4273-954c-23270fd769bf	TCGA-97-7552-10A	released	01	--	False
4f1c14c5-8f7f-4470-b2dd-917fdd80a312	TCGA-97-7552-01A-11	1b110eb4-a01d-4c50-ba18-77da4dedd549	TCGA-97-7552	TCGA-LUAD	9dcb355a-c122-4341-89d7-1df471315a49	TCGA-97-7552-01A	released	11	31.0	False
ae55fdf1-f35a-4930-a339-0c51f52b791a	TCGA-97-7552-01A-13-2192-20	1b110eb4-a01d-4c50-ba18-77da4dedd549	TCGA-97-7552	TCGA-LUAD	9dcb355a-c122-4341-89d7-1df471315a49	TCGA-97-7552-01A	released	13	--	False
5b14d7b8-1f62-43c2-8982-a461722e848a	TCGA-55-6981-01A-11	0a45f302-5748-48f3-9dc9-66c01843a68e	TCGA-55-6981	TCGA-LUAD	2b87b12c-5ca7-4492-a2f6-26f9644e1d5a	TCGA-55-6981-01A	released	11	30.0	False
1ee6ed8b-3ce5-4565-9948-33bdc5e40c92	TCGA-55-6981-01A-13-2191-20	0a45f302-5748-48f3-9dc9-66c01843a68e	TCGA-55-6981	TCGA-LUAD	2b87b12c-5ca7-4492-a2f6-26f9644e1d5a	TCGA-55-6981-01A	released	13	--	False
08820926-4232-4c39-aa5d-ce6c2fbf0519	TCGA-55-6981-11A-01	0a45f302-5748-48f3-9dc9-66c01843a68e	TCGA-55-6981	TCGA-LUAD	7f21527c-8434-474e-b223-b24d5b4d57f7	TCGA-55-6981-11A	released	01	55.0	False
3171da65-3454-4963-ba8c-de241fb45662	TCGA-J2-A4AD-10A-01	096bd95f-9900-4db2-b1c4-103902c3b31f	TCGA-J2-A4AD	TCGA-LUAD	81bfa60b-0e23-4d92-b82c-7a9c90e76fd7	TCGA-J2-A4AD-10A	released	01	2.0	False
521f0faf-3444-47dd-bd30-8224e1b3de12	TCGA-J2-A4AD-01A-11	096bd95f-9900-4db2-b1c4-103902c3b31f	TCGA-J2-A4AD	TCGA-LUAD	bd57c86d-bb0d-40a3-9292-97d6b33db1ea	TCGA-J2-A4AD-01A	released	11	30.0	False
abfca382-3b85-4597-b9a4-ecc64e6894ea	TCGA-J2-A4AD-01A-21-A45A-20	096bd95f-9900-4db2-b1c4-103902c3b31f	TCGA-J2-A4AD	TCGA-LUAD	bd57c86d-bb0d-40a3-9292-97d6b33db1ea	TCGA-J2-A4AD-01A	released	21	--	False
3b4ac0e9-4424-4f66-95b9-afc247a49623	TCGA-05-4424-10A-01	66763a0c-6cda-4832-a0cc-e7b496d78eaa	TCGA-05-4424	TCGA-LUAD	83108c37-2c1c-4b3e-baa1-e2df6c56f32b	TCGA-05-4424-10A	released	01	--	False
cb2227e2-9d22-4486-b357-78cc5be9476c	TCGA-05-4424-01A-22	66763a0c-6cda-4832-a0cc-e7b496d78eaa	TCGA-05-4424	TCGA-LUAD	a4d06d63-8da9-4c3c-a75d-4079c2238aa8	TCGA-05-4424-01A	released	22	29.0	False
b2825831-dc98-4443-9963-3f8399f86ea9	TCGA-97-7554-01A-13-2192-20	a9644274-13bb-4228-9b4f-14260ccc26eb	TCGA-97-7554	TCGA-LUAD	ec52b227-65eb-406f-a02b-f4cd1fdf6b3c	TCGA-97-7554-01A	released	13	--	False
c46fbd4e-d13b-49a0-af1a-6dfb0d9f0f9d	TCGA-97-7554-01A-11	a9644274-13bb-4228-9b4f-14260ccc26eb	TCGA-97-7554	TCGA-LUAD	ec52b227-65eb-406f-a02b-f4cd1fdf6b3c	TCGA-97-7554-01A	released	11	32.0	False
65855db1-d2c2-4611-a7b5-f934805dcac6	TCGA-97-7554-10A-01	a9644274-13bb-4228-9b4f-14260ccc26eb	TCGA-97-7554	TCGA-LUAD	4a232329-f491-41be-8557-9aec06e97046	TCGA-97-7554-10A	released	01	--	False
47586ea8-3cde-46fc-a744-c016a1512530	TCGA-49-AAQV-01A-21-A45B-20	96dfa373-4597-49a5-942e-d9b4dc5d28fc	TCGA-49-AAQV	TCGA-LUAD	5efd5b2c-3db1-4153-b01f-8f0087d96940	TCGA-49-AAQV-01A	released	21	--	False
b81d4721-8185-4dbe-97ff-9300037645de	TCGA-49-AAQV-01A-11	96dfa373-4597-49a5-942e-d9b4dc5d28fc	TCGA-49-AAQV	TCGA-LUAD	5efd5b2c-3db1-4153-b01f-8f0087d96940	TCGA-49-AAQV-01A	released	11	30.0	False
39f50769-c9f1-4f8d-9ead-b7899654488b	TCGA-49-AAQV-11A-11	96dfa373-4597-49a5-942e-d9b4dc5d28fc	TCGA-49-AAQV	TCGA-LUAD	55b8b4bf-6355-49fe-93ad-8ce4c0505db5	TCGA-49-AAQV-11A	released	11	30.0	False
7b99de06-062b-48c7-b285-dbb0b6ea4d4c	TCGA-86-8673-10A-01	bc4c4079-b449-485d-84e4-a40496e563e8	TCGA-86-8673	TCGA-LUAD	568a9271-793e-4dc5-8ca8-25e1096333e0	TCGA-86-8673-10A	released	01	--	False
e813ba5f-3e01-4fd6-afa0-dece1b2b3e83	TCGA-86-8673-01A-21-A45A-20	bc4c4079-b449-485d-84e4-a40496e563e8	TCGA-86-8673	TCGA-LUAD	7901609b-ec53-48e1-80ee-489fa4187ebb	TCGA-86-8673-01A	released	21	--	False
4f0f22de-80ff-4e88-b511-3878ed11b83e	TCGA-86-8673-01A-11	bc4c4079-b449-485d-84e4-a40496e563e8	TCGA-86-8673	TCGA-LUAD	7901609b-ec53-48e1-80ee-489fa4187ebb	TCGA-86-8673-01A	released	11	40.0	False
398db05c-f5ca-4a39-8fcd-dfbcd3a45233	TCGA-93-7348-11A-01	e739b4f7-ae46-45c6-9013-9571cbadaf99	TCGA-93-7348	TCGA-LUAD	24ed7e69-2104-4a65-9397-84e0d52660ee	TCGA-93-7348-11A	released	01	74.0	False
048615c7-c08c-4199-b394-c59160337d67	TCGA-93-7348-01A-23-2192-20	e739b4f7-ae46-45c6-9013-9571cbadaf99	TCGA-93-7348	TCGA-LUAD	cd8ff232-b36b-4ed0-a0c6-7e0e172ea390	TCGA-93-7348-01A	released	23	--	False
5de2204c-1ac4-4d53-b2f0-d6341b49e63a	TCGA-93-7348-01A-21	e739b4f7-ae46-45c6-9013-9571cbadaf99	TCGA-93-7348	TCGA-LUAD	cd8ff232-b36b-4ed0-a0c6-7e0e172ea390	TCGA-93-7348-01A	released	21	37.0	False
2e449f23-d1b4-4d5a-bd43-510e1f50c5e5	TCGA-93-7348-10A-01	e739b4f7-ae46-45c6-9013-9571cbadaf99	TCGA-93-7348	TCGA-LUAD	f989ded8-b95b-4349-bee3-a0ea2b08716b	TCGA-93-7348-10A	released	01	--	False
b71fb683-4722-46b3-8110-38a8860f0619	TCGA-95-7043-10A-01	c650b1ff-8a4c-4ee9-b7c1-268c28c83827	TCGA-95-7043	TCGA-LUAD	b63e5d33-b019-49c4-86d4-bb2e6ae8be81	TCGA-95-7043-10A	released	01	--	False
52dc84da-e060-4d47-87ef-06dcf1345955	TCGA-95-7043-01A-11	c650b1ff-8a4c-4ee9-b7c1-268c28c83827	TCGA-95-7043	TCGA-LUAD	2e0b958b-1e93-41ab-8a8a-21a2d7f99935	TCGA-95-7043-01A	released	11	37.0	False
e4b22dc8-a344-4b20-a743-9af3e4308605	TCGA-95-7043-01A-13-2192-20	c650b1ff-8a4c-4ee9-b7c1-268c28c83827	TCGA-95-7043	TCGA-LUAD	2e0b958b-1e93-41ab-8a8a-21a2d7f99935	TCGA-95-7043-01A	released	13	--	False
f29b58b3-554e-4fcb-b090-dc423dd5c618	TCGA-44-2659-01A-01	bf15f7ad-9d92-473b-91d1-f24aa373ab97	TCGA-44-2659	TCGA-LUAD	42208ba8-f465-4d62-9ed9-5dbfaa525913	TCGA-44-2659-01A	released	01	105.0	False
3ac899e1-4ffc-4ec6-bb17-953302e344de	TCGA-44-2659-10A-01	bf15f7ad-9d92-473b-91d1-f24aa373ab97	TCGA-44-2659	TCGA-LUAD	e5680906-f59e-41e1-b50f-fd94eb06e7de	TCGA-44-2659-10A	released	01	--	False
8cdd9e79-5f23-4a5f-b2cd-297f75a883e9	TCGA-44-2659-11A-01	bf15f7ad-9d92-473b-91d1-f24aa373ab97	TCGA-44-2659	TCGA-LUAD	16f6ca72-2bb6-441f-abbb-a6707d93f252	TCGA-44-2659-11A	released	01	53.0	False
aa426968-088a-443a-862c-171fdc182ca9	TCGA-80-5607-01A-11-2190-20	645903b5-ba37-48a1-985b-a019b8db3236	TCGA-80-5607	TCGA-LUAD	4736860e-fd90-40d1-815e-e1d164123dd8	TCGA-80-5607-01A	released	11	--	False
a8924fb7-c5f4-4e36-98db-ef5c011c1fbd	TCGA-80-5607-01A-31	645903b5-ba37-48a1-985b-a019b8db3236	TCGA-80-5607	TCGA-LUAD	4736860e-fd90-40d1-815e-e1d164123dd8	TCGA-80-5607-01A	released	31	27.0	False
99cda338-9e7e-4cbf-a98d-bc5add3788e1	TCGA-80-5607-10A-01	645903b5-ba37-48a1-985b-a019b8db3236	TCGA-80-5607	TCGA-LUAD	7af9c636-82a3-4183-96e1-ae7dcfbf5141	TCGA-80-5607-10A	released	01	--	False
23054b03-98b7-470d-a067-4b7c4e4a0d2d	TCGA-MP-A4TJ-10A-01	8f52cccd-5709-4753-9670-31a573ee27ab	TCGA-MP-A4TJ	TCGA-LUAD	543f0c32-60ef-4e34-a55c-d1cc64acdda6	TCGA-MP-A4TJ-10A	released	01	--	False
